SYMBOL,MCL1.DG,MCL1.DH,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LA,MCL1.LB,MCL1.LC,MCL1.LD,MCL1.LE,MCL1.LF
Bmp3,-0.799507380535693,-0.366301240483307,-1.6736428637368,-1.89880332810985,-2.67130181865954,-3.12123821288401,4.46601466306994,4.09278518621187,2.48990141085537,4.19407508799219,6.27592471358755,5.92574295224905
Ccl28,0.422885040800755,0.579927503075712,-0.40355370036906,-0.313840827388696,0.788129799977758,0.622922882686396,-0.129517079361404,-0.006139046329304,1.33853681931978,0.271566531568804,4.42778545220088,4.05546249977474
Cmtm3,4.56442824087325,5.01000947457715,4.94539031307404,4.89561253824025,5.47335642417234,5.3406504515488,3.92086510983665,4.2622344432011,4.18191596112187,4.52567924222859,2.18561210342859,2.21989987557862
Cmtm6,6.90994200841749,7.0772488120449,6.67117519222702,6.61901745254636,6.85029862106419,6.61719187487077,7.10212765521324,7.07357171294413,8.47681994794154,8.53366137693898,10.1938759308173,10.2755791100851
Cmtm7,3.33351803809509,3.32871480570276,2.97021332603792,2.9515037391323,2.8832870330181,3.21861179000061,3.32991453927589,3.27360923306576,2.78982088480897,3.18433369351399,4.38090675978493,4.28581399230996
Cmtm8,0.92428282488278,0.905503374978219,0.89710577776465,-0.044654194573306,0.861193262167481,0.622922882686396,4.7381856172492,4.72868536960305,4.56956679781936,4.46903399296804,6.2163487799942,6.32655324261155
Csf1,8.01223219196678,8.64444858364916,9.50571742957809,9.5252418021912,6.83224000808057,6.52729913300862,6.57987087465542,6.25236710274637,8.45913025355861,9.02924566669981,5.21709033490176,5.14620792501438
Ctgf,8.665811659184,9.01471406273954,11.5597565293506,11.7154198499234,9.318143368758,9.89093235728591,5.95836170395348,6.13393247735361,8.58772370524205,9.25298819407581,1.70018527625835,2.21989987557862
Cx3cl1,8.51824781035445,8.24957507043871,8.54203287817191,8.33822273270344,8.56377214478355,8.58327068111295,7.83909324937945,7.68687532250282,6.62000530693536,6.38009098834697,5.32284006705145,5.33672983106381
Cxcl1,7.32618003548646,7.478423657942,7.57665555416953,7.06809029535421,6.29900954016361,6.35732919269544,8.6436544562967,8.26658957300742,7.45738603866785,8.22659364822159,10.3190889414177,10.3430960054575
Cxcl16,6.13158825705161,5.92764697555135,6.66122191898741,6.36834348104513,6.41274725594788,6.14320438734259,6.85604585494504,6.56320168153905,7.01046139938382,7.30588826856026,5.91923988025783,5.36352159526669
Cxcl2,4.16312576699982,4.95650627841232,5.45017424249486,5.31289781004478,3.42522510501904,3.12288773039971,7.75588023404017,7.4757629794157,6.54176570004481,7.5999208956156,9.30629650914278,9.47682767520587
Cxcl3,0.599041995954582,1.14651147448201,1.62259858748691,1.47757255079989,-0.12110473609906,-0.585185312643804,3.65132821267772,3.61305508921115,2.86265376482041,4.06836767546567,6.56633689620737,6.43788711779507
Edn1,2.92097009084194,3.74985250451802,3.13067799823117,3.17883408328441,1.02913789948155,1.18619031230823,6.19347143089225,6.33793112892782,7.18613469529802,7.88191345915328,5.45192622310495,5.2703237064052
Egf,-0.889705189507271,-1.07999705532667,-1.23754374893013,-1.35131553280736,0.249263713846055,0.171543536343832,-0.943961426205327,-0.759499078746179,0.785144397599495,1.19601549856163,6.34810921790335,6.34280150491593
Gmfg,-1.45158407711539,-2.0234135269603,-2.06066598684605,-1.5117802050006,-2.30873173927483,-2.27324130632906,1.51094053395146,1.03008114158345,1.6372989296281,1.81672802423198,3.20368367635061,3.06528792963082
Hbegf,7.89112557990848,8.20383213861015,6.87393216619611,6.88432084187415,4.95701352021941,4.95664565155431,7.8456284302178,7.95288052492124,8.07402544874532,8.76137354183592,6.89302924146171,6.26393851999604
Il15,0.13337842360577,0.342235945356382,0.868250915092465,0.283400003110897,0.825124007459959,0.74665825110864,1.6656631287501,1.20924998726938,2.60050689825847,3.19988850770883,5.96586926050609,6.22356061096294
Il34,3.00472144053519,3.04763622439921,2.75853054785607,3.23047968883511,3.56846717139688,3.54267562923196,1.64926869049943,0.650376715416886,2.52398240609847,2.99224704214752,4.24207905508762,4.21107602519162
Kitl,9.58062568004094,9.81781815518275,9.83854567151057,10.2138116051762,10.538521399046,10.4405509125219,8.23018942379169,8.025322692834,6.94015971737447,6.70704545505003,5.48923938157301,5.4435484528855
Lif,5.37223805653099,5.57935670384338,7.2408302081365,7.14327692541035,3.74775545207164,3.15302344837303,8.98906780377256,9.0036184176111,8.60507462663729,9.28079531729877,6.31524146416129,5.75413157417885
Mcl1,9.34155470827982,9.28418138338849,9.19558807159001,9.0936448419338,9.14116202582204,9.15657222922142,9.86691486965771,9.75965975342762,9.95601241139742,10.1736339564442,9.45734974731188,9.19857546044393
Nov,1.27503957282936,1.83838917911968,-0.903124709859572,-0.55484892689249,0.354233273447598,-0.398772188412923,-1.55401490788931,-1.13389459352768,0.351247871069336,1.50234673839797,4.25946113331585,4.49413122843469
Pdgfa,5.26266144055074,5.01845619098261,6.20431786082298,6.11629001727564,6.16204009685295,6.04818576579206,3.65543845773964,3.58085972154837,3.5817529381931,4.05131938206391,1.39931879689882,2.37541745319991
Pdgfb,7.4439551419464,6.87443192904521,7.10790971056495,7.13948257624248,6.0792855460703,5.70467458590096,6.63242518033602,6.46739473482521,6.65694965154211,7.0218120659355,4.4329013974232,3.74906058463143
Pdgfd,1.25413058306638,1.4156981072974,0.838807137199983,1.36654123841114,0.354233273447598,0.579201505257078,0.175337502167017,0.681073512639802,3.47545989846688,4.12649850469311,5.19618134513878,5.11185642022361
Ptn,6.92985587224565,6.95055973673567,6.4529097864237,6.60624477389962,6.82426772390081,6.93377301384847,10.067916457113,10.2653437649818,1.46087236224383,1.2862133075332,3.01189352882783,2.8087668307557
Spp1,4.23957782743769,4.39897474970628,7.59520870194098,7.17533813464265,7.36428281856799,7.35995576516403,10.0711411646354,10.0268872481979,12.6537515189462,13.1374694117569,15.1434899493457,15.3119224101232
Tgfb2,4.17707843901007,4.45481160590508,5.54324561667609,5.69135184183163,4.96945956469232,4.93512854814051,5.5272933204009,5.21384979316382,6.96724848653386,7.02017015182707,4.65930080162834,4.81460377077798
Wnt5a,4.00940805550953,4.16031727400704,3.51734375323334,3.68384530677306,4.15615430945457,4.41947104978742,5.02222078841126,5.48245003267848,0.927748793042295,1.19601549856163,3.74612156042521,3.34884773279601
