1A	1	248956422	125000000
2A	1	242193529	9330000
3A	1	198295559	91000000
4A	1	190214555	50400000
5A	1	181538259	48400000
6A	1	170805979	61000000
7A	1	159345973	59900000
8A	1	145138636	45600000
9A	1	138394717	49000000
10A	1	133797422	40200000
11A	1	135086622	53700000
12A	1	133275309	35800000
13A	1	114364328	17900000
14A	1	107043718	17600000
15A	1	101991189	19000000
16A	1	90338345	36600000
17A	1	83257441	24000000
18A	1	80373285	17200000
19A	1	58617616	26500000
20A	1	64444167	27500000
21A	1	46709983	13200000
22A	1	50818468	14700000
XA	1	156040895	60600000
YA	1	57227415	12500000
